Quarter,All other,,"Food and
beverage","Health and
personal
care","Sporting goods, hobby
musical instrument,
and books","Miscellaneous
including gasoline
stations"
,"Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce"
2nd quarter 2023(p),"618,920","17,920","7,518","2,080","3,246","5,076"
1st quarter 2023(r),"577,979","17,772","7,597","2,021","3,280","4,874"
4th quarter 2022,"636,216","21,212","8,219","2,766","4,810","5,417"
3rd quarter 2022,"639,441","17,719","7,130","1,710","3,654","5,225"
2nd quarter 2022,"643,628","18,038","7,128","1,967","3,404","5,539"
1st quarter 2022,"561,649","17,503","7,406","1,823","3,309","4,965"
4th quarter 2021,"591,433","20,138","7,777","2,787","4,577","4,997"
3rd quarter 2021,"564,627","16,449","6,879","1,707","3,300","4,563"
2nd quarter 2021,"545,229","16,723","7,017","1,870","3,109","4,727"
1st quarter 2021,"490,580","17,085","7,900","1,746","3,086","4,353"
4th quarter 2020,"504,916","19,182","7,889","2,538","4,113","4,642"
3rd quarter 2020,"495,099","15,859","6,791","1,691","3,347","4,030"
2nd quarter 2020,"458,574","16,785","7,197","2,336","3,681","3,571"
1st quarter 2020,"469,246","10,516","3,732","1,245","2,058","3,481"
4th quarter 2019,"495,387","11,529","3,484","1,968","2,712","3,365"
3rd quarter 2019,"487,445","9,223",S,"1,221","2,053","3,621"
2nd quarter 2019,"486,499","8,628","2,154","1,317","1,706","3,451"
1st quarter 2019,"443,500","8,175","1,932","1,135","1,774","3,334"
4th quarter 2018,"485,174","9,648","1,837","1,717","2,471","3,623"
3rd quarter 2018,"478,751","7,527","1,449","1,028","1,888","3,162"
2nd quarter 2018,"476,845","7,553","1,423","1,202","1,703","3,225"
1st quarter 2018,"443,964","7,542","1,445","1,106","1,823","3,168"
