,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated Measures of Sampling Variability for Supplemental Quarterly U.S. Retail Trade Sales (Not Adjusted, millions of dollars) - Total and E-commerce",,,,,,,,,,,,,,,,,,,,,
[Estimates are shown as percents and are based on data from the Monthly Retail Trade Survey.] ,,,,,,,,,,,,,,,,,,,,,
Quarter,Total Retail Trade,,"Motor vehicle
and parts",,"Furniture, building materials,
and electronics",,"Furniture and
home
furnishings","Electronics
and
appliance","Building materials,
garden equipment
and supplies","Clothing and
general merchandise",,"Clothing and
clothing
accessories","General
merchandise",All other,,"Food and
beverage","Health and
personal
care","Sporting goods, hobby
musical instrument,
and books","Miscellaneous
including gasoline
stations",Nonstore retailers,
,"Total Store and
Non-store
Sales","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce"
2nd quarter 2023(p),0.8,1.8,1.5,7.0,1.7,0.5,0.8,0.7,0.9,0.9,2.4,6.7,0.1,0.7,4.2,1.1,7.2,7.2,13.4,2.6,2.9
1st quarter 2023(r),0.7,1.7,1.5,6.9,1.6,0.6,1.0,0.7,1.2,0.8,2.8,7.5,Z,0.8,4.3,1.1,7.7,7.6,13.9,2.2,2.6
4th quarter 2022,0.6,1.5,1.6,6.8,1.5,0.5,1.0,0.5,1.2,0.9,2.9,7.3,0.1,0.6,4.8,1.3,5.0,8.4,16.2,2.2,2.6
3rd quarter 2022,0.6,1.5,1.4,6.5,1.6,0.6,1.0,0.6,1.5,0.8,2.3,5.9,0.1,0.7,5.8,1.1,6.7,7.9,17.5,2.1,2.4
2nd quarter 2022,0.7,1.4,1.4,6.5,1.6,0.7,1.0,0.7,1.5,0.9,2.2,5.8,0.1,0.7,6.4,1.1,6.2,8.6,18.4,2.1,2.3
1st quarter 2022,0.6,1.4,1.4,6.3,1.5,0.7,0.9,0.7,1.7,0.7,3.0,7.4,0.1,0.7,5.4,1.0,6.4,8.3,16.7,2.0,2.2
4th quarter 2021,0.6,1.4,1.5,6.4,1.4,0.5,0.6,0.5,1.4,0.9,3.2,8.2,0.1,0.6,4.3,1.2,4.3,9.4,13.4,2.2,2.4
3rd quarter 2021,0.6,1.5,1.3,5.9,1.5,0.6,0.8,0.8,1.5,0.8,3.5,8.8,0.1,0.7,4.8,1.1,6.7,9.4,14.3,2.4,2.5
2nd quarter 2021,0.6,1.5,1.2,5.5,1.4,0.7,S,0.8,1.6,0.9,3.2,8.3,0.1,0.7,4.8,1.0,2.6,9.2,14.2,2.2,2.4
1st quarter 2021,0.6,1.4,1.1,6.1,1.3,0.6,S,0.7,1.6,0.8,3.6,9.0,0.1,0.7,3.8,1.0,2.3,8.1,12.2,2.1,2.3
4th quarter 2020,0.6,1.5,1.4,5.8,1.2,0.5,S,0.5,1.6,0.9,3.4,8.5,0.1,0.6,4.0,1.1,1.6,8.3,14.6,2.4,2.7
3rd quarter 2020,0.6,1.5,1.2,5.9,1.3,0.7,S,0.6,2.1,0.8,3.3,8.1,0.1,0.7,4.2,1.0,2.0,7.0,14.5,2.5,2.7
2nd quarter 2020,0.7,1.4,1.1,6.2,1.3,0.8,1.5,0.6,2.2,0.7,2.2,5.8,0.1,0.6,3.1,1.1,2.0,5.1,12.9,2.6,2.7
1st quarter 2020,0.5,1.7,1.0,6.3,1.2,1.2,S,0.8,3.9,0.8,5.3,11.7,0.1,0.6,6.6,1.4,2.2,9.1,16.8,2.3,2.8
4th quarter 2019,0.5,1.5,1.1,5.6,1.1,1.0,0.8,0.7,3.9,0.8,4.5,10.1,0.1,0.6,6.7,1.8,1.9,6.8,18.2,2.1,2.6
3rd quarter 2019,0.5,1.4,1.0,5.9,1.1,1.4,1.1,S,4.5,0.6,3.1,6.9,0.1,0.7,7.0,S,3.5,9.0,12.7,1.9,2.4
2nd quarter 2019,0.4,1.5,1.0,6.0,1.0,1.6,1.9,S,4.3,0.6,3.3,7.2,0.1,0.7,7.0,2.3,2.8,11.1,11.9,1.9,2.6
1st quarter 2019,0.4,1.4,1.1,6.0,1.1,1.8,1.5,S,6.1,0.6,3.7,7.6,Z,0.6,6.8,2.7,2.6,9.9,11.0,1.9,2.7
4th quarter 2018,0.4,1.4,1.1,6.1,1.1,1.3,1.7,0.8,4.7,0.7,4.0,8.5,0.1,0.5,5.8,3.1,1.8,7.1,10.7,2.1,2.9
3rd quarter 2018,0.4,1.5,1.0,6.1,1.2,1.7,1.4,S,5.5,0.5,3.0,6.1,Z,0.6,6.2,3.3,2.6,8.2,10.1,2.1,2.8
2nd quarter 2018,0.4,1.4,1.0,6.4,1.0,1.8,1.8,S,5.4,0.4,2.8,5.9,0.1,0.6,5.9,3.2,3.2,9.3,9.6,2.1,2.8
1st quarter 2018,0.4,1.4,0.9,6.6,1.0,2.3,S,1.4,7.9,0.5,3.2,6.3,0.1,0.7,5.5,3.4,3.5,6.7,9.6,1.9,2.9
,,,,,,,,,,,,,,,,,,,,,
(p) Preliminary estimate.     (r) Revised estimate.     (Z) Absolute value is less than 0.05%.,,,,,,,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note: Estimated measures of sampling variability are based on estimates not adjusted for seasonal variation, trading day differences, or moving holidays. Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at https://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Note: The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY23-001).,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Source: Retail Indicators Branch, U.S. Census Bureau",,,,,,,,,,,,,,,,,,,,,
"Last Revised: August 17, 2023",,,,,,,,,,,,,,,,,,,,,
