Month,"All items, 1-month percent change, seasonally adjusted","All items, 12-month percent change, not seasonally adjusted","Food at home, 1-month percent change, seasonally adjusted","Food at home, 12-month percent change, not seasonally adjusted","Food away from home, 1-month percent change, seasonally adjusted","Food away from home, 12-month percent change, not seasonally adjusted","Gasoline (all types), 1-month percent change, seasonally adjusted","Gasoline (all types), 12-month percent change, not seasonally adjusted","Fuel oil, 1-month percent change, seasonally adjusted","Fuel oil, 12-month percent change, not seasonally adjusted","Electricity, 1-month percent change, seasonally adjusted","Electricity, 12-month percent change, not seasonally adjusted","Utility (piped) gas, 1-month percent change, seasonally adjusted","Utility (piped) gas, 12-month percent change, not seasonally adjusted","New vehicles, 1-month percent change, seasonally adjusted","New vehicles, 12-month percent change, not seasonally adjusted","Used cars and trucks, 1-month percent change, seasonally adjusted","Used cars and trucks, 12-month percent change, not seasonally adjusted","Apparel, 1-month percent change, seasonally adjusted","Apparel, 12-month percent change, not seasonally adjusted","Medical care commodities, 1-month percent change, seasonally adjusted","Medical care commodities, 12-month percent change, not seasonally adjusted","Shelter, 1-month percent change, seasonally adjusted","Shelter, 12-month percent change, not seasonally adjusted","Transportation services, 1-month percent change, seasonally adjusted","Transportation services, 12-month percent change, not seasonally adjusted","Medical care services, 1-month percent change, seasonally adjusted","Medical care services, 12-month percent change, not seasonally adjusted"
Jan-18,0.4,2.1,0.2,1,0.4,2.5,2.8,8.5,10,22.5,0,2.4,-2.3,0.2,0.7,-1.2,0.3,-0.6,0.5,-0.7,0.2,1.8,0.3,3.2,0.8,4,0.4,2
Feb-18,0.3,2.2,-0.3,0.5,0.2,2.6,1.9,12.6,-1.8,20.7,0.1,2.2,5.4,3.8,-0.3,-1.5,0.1,-0.1,0.8,0.4,0.3,1.6,0.2,3.1,0.8,4.5,0.1,1.8
Mar-18,0,2.4,0,0.4,0.1,2.5,-3.5,11.1,-1.4,20,0,2.2,-0.9,3.4,0.1,-1.2,-0.3,0.4,0.5,0.3,0,1.4,0.3,3.3,0.1,4.3,0.4,2.1
Apr-18,0.3,2.5,0.2,0.5,0.2,2.5,3.2,13.4,1.8,22.6,-0.3,1.2,-0.7,1,-1,-1.6,-0.2,-0.9,0.7,0.8,-0.3,1.9,0.3,3.4,-0.2,4.1,0.2,2.2
May-18,0.2,2.8,-0.3,0.1,0.3,2.7,1.5,21.8,-0.6,25.3,0.3,1,-0.8,-0.8,-0.1,-1.1,0.5,-1.7,0.1,1.4,0.9,2.7,0.4,3.5,0.2,3.8,0,2.3
Jun-18,0.1,2.9,0.1,0.4,0.2,2.8,0.3,24.3,0.5,30.8,-0.3,-0.1,-1.5,-2.1,0,-0.5,-0.4,-0.7,-0.8,0.6,0.4,2.4,0.1,3.4,0.2,3.7,0.3,2.5
Jul-18,0.1,2.9,0.2,0.4,0.1,2.8,-0.7,25.4,1,34.7,-0.4,-0.8,0,-1.3,-0.2,0.2,-0.2,0.8,-0.6,0.3,-0.8,0.4,0.3,3.5,0.2,4,0,2.3
Aug-18,0.2,2.7,0.1,0.5,0.2,2.6,2,20.3,0,30.9,0.3,-0.5,0.7,0.1,0,0.3,0.4,1.3,-1.8,-1.4,0.1,0.3,0.3,3.4,0.3,3.9,-0.3,1.9
Sep-18,0.2,2.3,0.1,0.4,0.2,2.6,1.7,9.1,2,23.4,-0.5,-1.2,-2.4,-1.2,0,0.5,-0.8,-1.5,1.4,-0.6,-0.4,0.7,0.2,3.3,0.4,4,0.3,2
Oct-18,0.2,2.5,-0.2,0.1,0.1,2.5,1.2,16.1,4.6,26.2,0.9,0.7,-0.7,-2.1,0,0.5,1,0.4,0.7,-0.4,-0.2,0.7,0.3,3.2,0.1,3.8,0.2,1.9
Nov-18,-0.1,2.2,0.3,0.4,0.3,2.6,-6,5,-3.4,16.1,0.1,0.6,-0.3,-2.1,0.5,0.3,1.1,2.3,-0.7,-0.4,0.3,0.6,0.3,3.2,-0.1,3.3,0.4,2.4
Dec-18,0.1,1.9,0.4,0.6,0.4,2.8,-5.6,-2.1,-9.6,1.9,0.9,1.1,6.1,2.3,0.8,-0.3,0.3,1.4,-0.6,-0.1,-0.6,-0.5,0.3,3.2,0,2.8,0.5,2.6
Jan-19,0,1.6,0.2,0.6,0.3,2.8,-5.3,-10.1,-0.7,-8.1,-0.9,0.4,-0.2,4.3,0.4,0,0.6,1.6,0.1,0.1,0.4,-0.3,0.3,3.2,0.1,2,0.2,2.4
Feb-19,0.2,1.5,0.3,1.2,0.4,2.9,2.7,-9.1,4.2,-2.4,-0.2,0,-1.6,-2.6,0,0.3,-0.5,1.1,0.1,-0.8,-0.5,-1.1,0.3,3.4,-0.1,1.1,0.1,2.4
Mar-19,0.3,1.9,0.2,1.4,0.2,3,4.6,-0.7,0.6,-0.4,0.3,0.3,0.4,-1.4,0.5,0.7,-1,0.4,-0.7,-2.2,0.4,-0.6,0.3,3.4,0.1,1,0.2,2.3
