Quarter,Total_Brick_morter,Total E_commerce,Furniture_home_furnishings,Electronics_appliances,Building_materials_garden_equipment
6/30/2023,"219,740","26,615","4,252","11,295","11,068"
3/31/2023,"189,619","24,962","4,317","11,932","8,713"
12/31/2022,"214,579","31,439","5,694","15,871","9,874"
09/30/2022,"216,274","27,584","5,140","12,824","9,620"
06/30/2022,"228,124","27,085","4,997","11,285","10,803"
3/31/2022,"190,996","26,124","4,758","12,837","8,529"
12/31/2021,"213,339","33,281","5,611","18,579","9,091"
9/30/2021,"202,702","25,597","4,814","12,427","8,356"
6/30/2021,"219,993","25,852",0,"12,075","9,067"
3/31/2021,"178,669","24,189",0,"12,643","7,056"
12/31/2020,"191,016","30,250",0,"16,933","8,068"
9/30/2020,"185,667","24,675",0,"12,421","7,967"
6/30/2020,"177,403","27,775","4,575","13,939","9,261"
3/31/2020,"143,880","14,665",0,"7,386","4,424"
12/31/2019,"166,252","17,607","3,475","9,788","4,344"
9/30/2019,"161,055","13,683","2,902",0,"3,876"
6/30/2019,"167,529","13,645","2,784",0,"4,152"
3/31/2019,"140,582","12,721","2,529",0,"3,130"
12/31/2018,"166,434","17,997","3,153","11,226","3,618"
9/30/2018,"159,988","13,965","2,563",0,"3,309"
6/30/2018,"168,624","13,820","2,473",0,"3,609"
3/31/2018,"137,892","12,722",0,"7,655","2,747"
