,,,,,,,,,,,,,,,,,,,,,
"Table 3. Supplemental Estimated Quarterly U.S. Retail Trade Sales (Not Adjusted, millions of dollars) - Total and E-commerce1",,,,,,,,,,,,,,,,,,,,,
[Estimates are not adjusted and based on data from the Monthly Retail Trade Survey and administrative records.],,,,,,,,,,,,,,,,,,,,,
Quarter,Total Retail Trade,,"Motor vehicle
and parts",,"Furniture, building materials,
and electronics",,"Furniture and
home
furnishings","Electronics
and
appliance","Building materials,
garden equipment
and supplies","Clothing and
general merchandise",,"Clothing and
clothing
accessories","General
merchandise",All other,,"Food and
beverage","Health and
personal
care","Sporting goods, hobby
musical instrument,
and books","Miscellaneous
including gasoline
stations",Nonstore retailers,
,"Total Store and
Non-store
Sales","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total
E-commerce","Total Store and
Non-store
Sales","Total
E-commerce"
2nd quarter 2023(p),"1,832,564","269,517","417,288","14,928","219,740","26,615","4,252","11,295","11,068","333,094","44,461","16,282","28,179","618,920","17,920","7,518","2,080","3,246","5,076","243,522","165,593"
1st quarter 2023(r),"1,680,614","252,773","379,144","13,905","189,619","24,962","4,317","11,932","8,713","298,814","41,292","15,544","25,748","577,979","17,772","7,597","2,021","3,280","4,874","235,058","154,842"
4th quarter 2022,"1,857,200","303,120","367,442","14,383","214,579","31,439","5,694","15,871","9,874","383,264","58,823","24,197","34,626","636,216","21,212","8,219","2,766","4,810","5,417","255,699","177,263"
3rd quarter 2022,"1,791,403","252,107","388,996","15,138","216,274","27,584","5,140","12,824","9,620","324,093","42,188","16,905","25,283","639,441","17,719","7,130","1,710","3,654","5,225","222,599","149,478"
2nd quarter 2022,"1,823,059","250,341","402,231","16,004","228,124","27,085","4,997","11,285","10,803","327,921","42,334","16,878","25,456","643,628","18,038","7,128","1,967","3,404","5,539","221,155","146,880"
1st quarter 2022,"1,623,365","234,454","372,138","15,218","190,996","26,124","4,758","12,837","8,529","283,839","38,317","15,868","22,449","561,649","17,503","7,406","1,823","3,309","4,965","214,743","137,292"
4th quarter 2021,"1,755,679","283,542","359,597","14,935","213,339","33,281","5,611","18,579","9,091","366,056","57,263","22,899","34,364","591,433","20,138","7,777","2,787","4,577","4,997","225,254","157,925"
3rd quarter 2021,"1,631,481","226,918","372,937","14,995","202,702","25,597","4,814","12,427","8,356","302,874","38,445","15,730","22,715","564,627","16,449","6,879","1,707","3,300","4,563","188,341","131,432"
2nd quarter 2021,"1,676,892","233,659","410,171","15,827","219,993","25,852",S,"12,075","9,067","307,568","40,303","15,912","24,391","545,229","16,723","7,017","1,870","3,109","4,727","193,931","134,954"
