DATE,TOTALSA
2018-10-01,17.991
2018-11-01,18.061
2018-12-01,18.077
2019-01-01,16.91
2019-02-01,16.945
2019-03-01,17.732
2019-04-01,16.868
2019-05-01,18.027
2019-06-01,17.815
2019-07-01,17.731
2019-08-01,17.859
2019-09-01,17.746
2019-10-01,17.087
2019-11-01,17.594
2019-12-01,17.551
2020-01-01,16.841
2020-02-01,17.026
2020-03-01,11.736
2020-04-01,8.834
2020-05-01,12.549
2020-06-01,13.545
2020-07-01,15.279
2020-08-01,15.868
2020-09-01,16.77
2020-10-01,16.663
2020-11-01,16.405
2020-12-01,17.052
2021-01-01,16.629
2021-02-01,16.076
2021-03-01,18.287
2021-04-01,18.502
2021-05-01,17.567
2021-06-01,15.996
2021-07-01,15.306
2021-08-01,13.749
2021-09-01,12.747
2021-10-01,13.25
2021-11-01,13.553
2021-12-01,13.244
2022-01-01,14.798
2022-02-01,14.109
2022-03-01,14.049
2022-04-01,14.486
2022-05-01,13.4
2022-06-01,13.748
2022-07-01,13.965
2022-08-01,14.01
2022-09-01,14.191
2022-10-01,15.157
2022-11-01,14.785
2022-12-01,14.048
2023-01-01,15.605
2023-02-01,15.378
2023-03-01,15.441
2023-04-01,16.21
2023-05-01,16.079
2023-06-01,16.602
2023-07-01,16.441
2023-08-01,15.888
2023-09-01,16.18
